source	reference	greedy	beam_k5
ڈچی آف نارمنڈی ، جسے انہوں نے فرانسیسی تاج کے ساتھ معاہدے کے ذریعہ تشکیل دیا ، قرون وسطی کے فرانس کا ایک عظیم فیوڈ تھا ، اور نارمنڈی کے <ans> رچرڈ اول </ans> کے تحت ایک مربوط اور خوفناک شہنشاہی میں تشکیل دیا گیا تھا۔	جو نورمنڈی کے ڈچی پر حکمرانی کی	نارمنڈی کے کس نے کس نے؟	نارمنڈی کے کس نے کس نے؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جو <ans> کیتھولک </ans> آرتھوڈوکس کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن کے کس آرتھوڈوکس کے کے آرتھوڈوکس کا کا تھا؟	نارمن کے کس آرتھوڈوکس کا نام کیا تھا؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جس میں وہ <ans> کیتھولک آرتھوڈوکس </ans> کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن کے کے کے کے کے کے کے کے کے؟	نارمن کے کس کے کے کا نام کیا تھا؟
نورمنڈی کا ڈچی ، جو <ans> 911 </ans> میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے بادشاہ چارلس III اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک سلطنت نیوسٹریا میں واقع تھا۔	ڈچی آف نارمنڈی کی بنیاد کب رکھی گئی تھی؟	Norڈی کا ڈچی کب کب ہوا؟	نورمنڈی کا ڈچی کس سال ہوا تھا؟
ڈچی آف نارمنڈی ، جو 911 میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے <ans> بادشاہ چارلس III </ans> اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک بادشاہت نیوسٹریا میں واقع تھا۔	رولو نے سینٹ کلیئر سور ایپٹ کے معاہدے پر کس کے ساتھ دستخط کیے؟	کون سا کے کے کے کے کے؟	مغربی فرانس کے کس بادشاہ کا نام کیا تھا؟
یہ علاقہ موجودہ اپر نارمنڈی کے شمالی حصے سے نیچے دریائے <ans> سین </ans> تک تھا ، لیکن ڈچی بالآخر سین سے باہر مغرب میں پھیل جائے گی۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	موجودہ کے کے کے کے کے دور میں؟	موجودہ کے کے شمالی حصے میں کون سا؟
معاہدے نے رولو اور اس کے مردوں کو مزید وائکنگ حملے کے خلاف تحفظ کے بدلے میں دریا <ans> ایپٹ </ans> اور بحر اوقیانوس کے ساحل کے درمیان فرانسیسی زمینیں پیش کیں۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	کون سا دریا نے کے کے کے کے کے کے کے لئے؟	کون سا دریا نے کوو اور اس کے کے کے حملے کے کے لئے؟
<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	پکین کی کی کس سے سے؟	پکارڈی یا آئل ڈی فرانس سے تعلق رکھتا تھا؟
زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	1066 تک کس قسم کی کس کی کی برآمد کر رہا تھا؟	1066 تک کس قسم کی کس کی برآمد کی؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	Purzzz کے کے کے خلاف لڑ رہا تھا؟	وہ کس کے کے خلاف لڑ رہا تھا؟
نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کس کے کے کے خلاف لڑتے تھے؟	نارمنز کے کے خلاف لڑتے تھے؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	Purzzz کے کے کے خلاف لڑ رہا تھا؟	وہ کس کے کے خلاف لڑ رہا تھا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	بازنطینی جنرل نے کس سال بازنطینی جنرل کی حیثیت سے خدمات انجام دینے کی؟	بازنطینیوں نے بازنطینی جنرل کی حیثیت سے خدمات انجام دینے؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	بازنطینی جنرل نے بازنطینی جنرل کے طور پر کب کام کیا؟	بازنطینیوں نے بازنطینی جنرل کی حیثیت سے خدمات انجام دینے؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	بازنطینی جنرل نے بازنطینی جنرل کے طور پر کب کام کیا؟	بازنطینیوں نے بازنطینی جنرل کی حیثیت سے خدمات انجام دینے؟
<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں Aus کے خلاف A کے خلاف A کےes کی قیادت کی؟	کس دہائی میں Aسا کے نارمنز کی قیادت کی؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں Aus کے خلاف A کےeses کی قیادت کی؟	Eسا کے نارمنز کی قیادت کب کی؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں Aus کے خلاف A کےeses کی قیادت کی؟	Eسا کے نارمنز کی قیادت کب کی؟
روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	کون سا بازنطینی جنرل کو کو کو میں میں میں کی؟	کون سا بازنطینی جنرل کو کو کو کے میں پر مجبور کیا؟
انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	فرینکس کا نام نام کیا ہے؟	فرینکس کا عرفی نام کیا ہے؟
<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	کون ایک جرمن نے ایک کیا تھا؟	کن فرات کی کس نے کی؟
کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	کچھ نارمنوں نے کس میں میں شامل ہوئے؟	کچھ نارمنوں نے کس میں شامل ہوئے؟
بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	کتنے یونانی خاندان کے دوران بازنطینیوں میں تھے؟	پندرہویں صدی کے دوران بازنطینیوں میں کتنے لوگ رہتے تھے؟
راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	راولی راولی کس سے سے descesss؟	راولی راولی کون تھا؟
راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	راولی راولی کیا تھا؟	راولی کیا ہے؟
<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	نارمن کی کی قیادت کس نے کی؟	نارمن کے کو کس نے دیا؟
شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں شہنشاہ کی گارنیشن نے کی؟	کس سال رومن شہنشاہ نے کس سال حملہ کیا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں کی گارنیشن نے نے کی؟	کس کی گارنیشن نے کس سال حملہ کیا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں کی گارنیشن نے نے کی؟	کس کی گارنیشن نے کس سال حملہ کیا؟
کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	1081 میں، کتنے میں میں کتنے مردوں نے کتنے؟	1081 میں ڈلمیٹیا اور کیتھولک شہروں کے ساتھ اتحاد کیا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	Oa کے دریا کے کے دریا کے قریب واقع؟	چارلسا کے دریا کے دریا کے قریب ہے؟
پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	کون سا کے کا نام کیا تھا؟	کون سا کا نام کیا تھا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	Oa کے دریا کے کے دریا کے قریب واقع؟	چارلسا کے دریا کے دریا کے قریب ہے؟
دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	O Ocoriga کے کے کے کے قریب واقع؟	O Ocoriga کے کے کے کے؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	بازنطینی ریاست کے کے کے کے کے پر کب حملہ کیا؟	کس سال بازنطینی ریاست پر حملہ کیا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	بازنطینی ریاست کے کے کے کے کے کے؟	کس سال بازنطینی ریاست نے بازنطینی ریاست پر حملہ کیا؟
بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	کس نے نے کے کے کے کے پر حملہ کیا؟	کس نے نے بازنطینی ریاست پر حملہ کیا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کون سا میں میں میں میں میں میں میں میں میں؟	کونچیم دوبارہ بازنطینیوں میں سے ایک کیا تھا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کون سا میں میں میں میں میں میں میں میں میں؟	کونچیم دوبارہ بازنطینیوں میں سے ایک کیا تھا؟
اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	ملکہ وکٹوریہ کے شادی کس نے شادی کے ساتھ تعلقات تعلقات تعلقات کے ساتھ تعلقات تعلقات کے ساتھ تعلقات پیدا کیے؟	ملکہ کی بہن ایما اور انگلینڈ کے مابین تعلقات تعلقات تعلقات کس کس نے شادی کی؟
